25-02-25 21:17:12.869 [RMI TCP Connection(45)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
25-02-25 21:17:12.874 [RMI TCP Connection(45)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"] 
25-02-25 21:17:16.100 [main] INFO  c.a.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.4 with PID 15672 (D:\Spring-Workspace\journalApp\target\classes started by HP in D:\Spring-Workspace\journalApp) 
25-02-25 21:17:16.101 [main] DEBUG c.a.journalApp.JournalAppApplication - Running with Spring Boot v3.3.8, Spring v6.1.16 
25-02-25 21:17:16.101 [main] INFO  c.a.journalApp.JournalAppApplication - No active profile set, falling back to 1 default profile: "default" 
25-02-25 21:17:16.460 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-02-25 21:17:16.496 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 3 MongoDB repository interfaces. 
25-02-25 21:17:16.791 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-02-25 21:17:16.799 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-02-25 21:17:16.800 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-02-25 21:17:16.801 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34] 
25-02-25 21:17:16.830 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-02-25 21:17:16.831 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 698 ms 
